Source,Target,Label,Type
17,28,"Edge 17 to 28","Mixed"
17,31,"Edge 17 to 31","Mixed"
17,35,"Edge 17 to 35","Mixed"
17,36,"Edge 17 to 36","Mixed"
17,52,"Edge 17 to 52","Mixed"
17,103,"Edge 17 to 103","Mixed"
17,130,"Edge 17 to 130","Mixed"
18,2,"Edge 18 to 2","Mixed"
18,5,"Edge 18 to 5","Mixed"
18,7,"Edge 18 to 7","Mixed"
18,8,"Edge 18 to 8","Mixed"
18,9,"Edge 18 to 9","Mixed"
18,42,"Edge 18 to 42","Mixed"
18,50,"Edge 18 to 50","Mixed"
18,56,"Edge 18 to 56","Mixed"
18,64,"Edge 18 to 64","Mixed"
18,65,"Edge 18 to 65","Mixed"
18,99,"Edge 18 to 99","Mixed"
19,1,"Edge 19 to 1","Mixed"
19,4,"Edge 19 to 4","Mixed"
19,8,"Edge 19 to 8","Mixed"
19,9,"Edge 19 to 9","Mixed"
19,14,"Edge 19 to 14","Mixed"
19,32,"Edge 19 to 32","Mixed"
19,37,"Edge 19 to 37","Mixed"
19,39,"Edge 19 to 39","Mixed"
19,46,"Edge 19 to 46","Mixed"
19,49,"Edge 19 to 49","Mixed"
19,60,"Edge 19 to 60","Mixed"
19,61,"Edge 19 to 61","Mixed"
19,62,"Edge 19 to 62","Mixed"
19,68,"Edge 19 to 68","Mixed"
19,72,"Edge 19 to 72","Mixed"
19,75,"Edge 19 to 75","Mixed"
19,103,"Edge 19 to 103","Mixed"
19,110,"Edge 19 to 110","Mixed"
20,4,"Edge 20 to 4","Mixed"
20,7,"Edge 20 to 7","Mixed"
20,9,"Edge 20 to 9","Mixed"
20,13,"Edge 20 to 13","Mixed"
20,15,"Edge 20 to 15","Mixed"
20,26,"Edge 20 to 26","Mixed"
20,53,"Edge 20 to 53","Mixed"
20,59,"Edge 20 to 59","Mixed"
20,66,"Edge 20 to 66","Mixed"
20,74,"Edge 20 to 74","Mixed"
20,92,"Edge 20 to 92","Mixed"
21,1,"Edge 21 to 1","Mixed"
21,5,"Edge 21 to 5","Mixed"
21,10,"Edge 21 to 10","Mixed"
21,12,"Edge 21 to 12","Mixed"
21,13,"Edge 21 to 13","Mixed"
21,28,"Edge 21 to 28","Mixed"
21,42,"Edge 21 to 42","Mixed"
21,46,"Edge 21 to 46","Mixed"
21,54,"Edge 21 to 54","Mixed"
21,80,"Edge 21 to 80","Mixed"
21,86,"Edge 21 to 86","Mixed"
21,105,"Edge 21 to 105","Mixed"
21,106,"Edge 21 to 106","Mixed"
21,125,"Edge 21 to 125","Mixed"
22,2,"Edge 22 to 2","Mixed"
22,8,"Edge 22 to 8","Mixed"
22,9,"Edge 22 to 9","Mixed"
22,11,"Edge 22 to 11","Mixed"
22,13,"Edge 22 to 13","Mixed"
22,30,"Edge 22 to 30","Mixed"
22,31,"Edge 22 to 31","Mixed"
22,33,"Edge 22 to 33","Mixed"
22,36,"Edge 22 to 36","Mixed"
22,41,"Edge 22 to 41","Mixed"
22,62,"Edge 22 to 62","Mixed"
22,65,"Edge 22 to 65","Mixed"
22,69,"Edge 22 to 69","Mixed"
22,85,"Edge 22 to 85","Mixed"
22,100,"Edge 22 to 100","Mixed"
22,120,"Edge 22 to 120","Mixed"
23,2,"Edge 23 to 2","Mixed"
23,3,"Edge 23 to 3","Mixed"
23,5,"Edge 23 to 5","Mixed"
23,10,"Edge 23 to 10","Mixed"
